Observation Name,Observation Subdetail,Value
Project Information,Date/Time,04-17-2025
Project Information,Street Address,14915 Clover Meadow Ln
Project Information,City,Montgomery
Project Information,State,Texas
Project Information,Zip Code,77316
Project Information,Builder,Tri Pointe Homes
Project Information,Superintendent Name,Bart Mills
Project Information,Superintendent Email Address,bart.mills@tripointehomes.com
Project Information,Superintendent Attendance,Not Present
Project Information,Inspection Type,Final
Project Information,Is this project a re-inspection?,No
Project Information,Inspection Iteration,1st
Project Information,Report Information,This report was prepared for a builder or other entity in accordance with the builder’s requirements. The report is not intended as a substitute for an inspection of the property by an inspector of the buyer’s choice. Standard inspections performed by a; Texas Real Estate Commission licensee and reported on Texas Real Estate; Commission promulgated report forms may contain additional information a buyer should consider in making a decision to purchase.
F_System Information,Cladding Systems:,Stucco/Adhered Masonry; Siding; Brick/Masonry
F_System Information,Stucco System Finish:,Acrylic
F_System Information,Stucco Trim Type:,Expanded Polystyrene (EPS)
F_Note,Site Access or System Conditions,Not all system areas accessible for inspection.
F_Note,-,Ensure 90% of the structures dead weight load is installed prior to stucco application. (ie. Gypsum wall board and/or roof covering installed and loaded on structure.)
F_System Deficiencies,-,"Gaps, voids, unbonded or missing sealant at windows."
F_System Deficiencies,-,"Gaps, voids, unbonded or missing sealant at doors."
F_System Deficiencies,-,"Gaps, voids, unbonded or missing sealant at system penetrations."
F_System Deficiencies,-,"Gaps, voids, unbonded or missing sealant at roof flashing."
F_System Deficiencies,-,"Gaps, voids, unbonded or missing sealant at transitions to dissimilar materials."
F_System Deficiencies,-,"Missing, damaged, insufficient or improperly installed flashing at roof or balcony."
F_System Deficiencies,-,Gutter downspouts improperly discharge directly onto structure or roof covering. Ensure that downspouts direct water away from structure and roof.
F_System Deficiencies,-,Incomplete mesh and base coat and/or exposed expanded polystyrene (EPS) trim termination.
F_System Deficiencies,-,Missing or insufficient counter flashing or sealant condition observed at masonry to roof transitions.
F_Additional Inspector Comments,-,Ensure areas to receive tile or pavers maintain minimum of 2 inches of clearance to the bottom edge of stucco system.
F_Site Photo,Site Photo,
F_Site Photo,Photo Description,Elevation
